prdtypecode,prdtype
10,livres_adulte
2280,magazines
50,accessoires_jeux_videos
1280,jouets_enfance
2705,livres_et_illustres
2522,papeterie
2582,mobilier_jardin_cuisine
1560,mobilier_interieur_litterie
1281,jeux_societe
1920,accessoires_interieur
2403,livres_jeunesse
1140,goodies_geek
2583,piscine_spa
1180,figurines_wargames
1300,modeles_reduits_ou_telecommandes
2462,jeux_geek
1160,cartes_a_jouer
2060,decoration_interieur
40,jeux_videos_import
60,jeux_et_consoles_retro
1320,petite_enfance
1302,jouets_enfants
2220,pour_animaux_domestiques
2905,jeux_videos_dematerialises
2585,jardin_bricolage
1940,nourriture
1301,materiel_enfance
